District,City,Latitude,Longitude,Price,PriceMillionPerM2,Size,LandType,Width,Length,Legalty,Ward
918,92,10.072556,105.74098,2250000000,21.26654,105.8,2,4.5,23.5,1.0,31168
762,79,10.826,106.7136,11500000000,93.49593,123.0,1,8.0,16.0,1.0,26812
802,80,10.934032,106.45276,950000000,11.176471,85.0,2,5.0,17.0,2.0,27958
804,80,10.692924,106.263985,3600000000,0.3,12000.0,4,50.0,240.0,1.0,28039
694,70,11.548608,106.61734,700000000,0.7,1000.0,2,10.0,20.0,1.0,25357
762,79,10.883,106.7257,17000000000,22.339027,761.0,4,,,1.0,26797
916,92,10.014643,105.76153,7900000000,23.511906,336.0,4,12.0,28.0,1.0,31147
804,80,10.614917,106.39937,2100000000,2.625,800.0,1,15.0,55.0,1.0,28036
762,79,10.833995,106.72641,19500000000,72.22222,270.0,1,12.0,22.5,1.0,26812
480,46,16.512836,107.53481,1300000000,11.304348,115.0,1,6.5,18.0,1.0,20005
783,79,10.9987,106.4494,490000000,3.5,140.0,1,8.0,17.5,1.0,27529
725,74,10.872017,106.70895,4850000000,32.333332,150.0,1,6.0,25.0,1.0,25990
932,93,9.954463,105.717514,1250000000,10.204082,122.5,2,5.0,24.5,1.0,31363
916,92,10.000666,105.743095,1630000000,20.503145,79.5,1,5.0,15.6999,1.0,31150
916,92,10.010358,105.73805,5200000000,41.26984,126.0,2,9.0,14.0,2.0,31150
783,79,11.011451,106.42881,512000000,3.6834533,139.0,1,,,1.0,27526
738,75,10.886903,107.11607,1000000000,1.0,1000.0,4,25.0,40.0,1.0,26320
21,1,21.068224,105.79026,4850000000,121.25,40.0,1,,,1.0,610
279,1,20.878277,105.83784,2020000000,30.60606,66.0,1,4.5,12.0,1.0,10198
778,79,10.7475,106.6996,12500000000,104.166664,120.0,1,6.0,20.0,3.0,27475
786,79,10.676515,106.75841,4700000000,34.057972,138.0,1,10.0,14.0,1.0,27655
807,80,10.607077,106.63451,3144000000,8.0,393.0,1,8.6,46.0,1.0,28177
494,48,16.009392,108.23884,6800000000,66.666664,102.0,1,5.0,21.0,1.0,20287
522,51,15.11326,108.780136,2500000000,25.0,100.0,1,5.0,20.0,1.0,21016
723,74,11.0027075,106.73231,6250000000,13.297873,470.0,1,10.0,47.0,1.0,25891
710,72,11.122874,106.2934,590000000,2.3412697,252.0,1,,,1.0,25669
19,1,21.012432,105.767395,12300000000,158.30177,77.6997,1,4.55,17.1,1.0,632
855,86,10.2603,105.8936,7400000000,0.925,8000.0,1,,,1.0,29569
277,1,20.948948,105.70284,2500000000,48.076923,52.0,1,,,1.0,10021
494,48,15.9893,108.2386,2200000000,22.0,100.0,1,5.0,20.0,1.0,20287
17,1,21.13931,105.854385,8000000000,190.4762,42.0,1,,,1.0,478
330,33,20.890306,105.9553,990000000,13.378378,74.0,1,4.5,17.0,1.0,12208
695,70,11.580005,106.829636,38000000000,0.45238096,84000.0,4,220.0,380.0,1.0,25387
769,79,10.833649,106.78338,4300000000,47.77778,90.0,1,5.0,18.0,1.0,26845
709,72,11.259979,106.143394,530000000,6.6332917,79.9,1,5.5,16.0,1.0,25648
497,48,15.9707,108.1818,800000000,8.0,100.0,1,,,1.0,20326
497,48,15.995487,108.192055,1580000000,9.875,160.0,1,,,1.0,20323
769,79,10.7951,106.7808,15500000000,155.0,100.0,2,5.0,20.0,1.0,27091
277,1,20.948948,105.70284,2000000000,29.850746,67.0,1,5.0,13.0,1.0,10021
732,75,10.924859,107.28437,499000000,3.992,125.0,4,5.0,25.0,3.0,26107
719,74,11.197755,106.61734,980000000,10.888889,90.0,1,5.0,18.0,1.0,25834
807,80,10.5987,106.6939,2950000000,5.864811,503.0,1,10.0,50.0,1.0,28180
568,56,12.337215,109.198135,6700000000,5.9928446,1118.0,1,,,1.0,22384
762,79,10.858602,106.76546,5500000000,61.11111,90.0,1,4.5,20.0,1.0,26800
18,1,21.047983,106.002304,2303000000,23.5,98.0,1,4.5,22.0,1.0,550
731,75,10.8723,106.9325,1490000000,7.45,200.0,1,10.0,20.0,3.0,26374
466,45,16.887363,106.971275,220000000,1.938326,113.5,1,5.6999,21.0,1.0,19546
493,48,16.077356,108.242226,6700000000,74.44444,90.0,1,5.0,18.0,1.0,20275
